Entity,Code,Year,Smoking (deaths),Secondhand smoke (deaths)
Ethiopia,ETH,2005,11840.9657464,2339.54133887
Ethiopia,ETH,2006,11990.2939883,2250.28374168
Ethiopia,ETH,2010,12875.725593,2035.89205033
Ethiopia,ETH,2016,14826.2147951,1903.49677927
Fiji,FJI,1990,517.380732951,124.574480237
Fiji,FJI,1995,573.878224145,153.14885121
Fiji,FJI,2000,607.945107396,186.482642757
Fiji,FJI,2005,628.35127035,212.571338876
Fiji,FJI,2006,636.334047942,217.600100103
Fiji,FJI,2010,643.326305373,243.433111939
Fiji,FJI,2016,694.811877099,273.599784122
Finland,FIN,1990,6731.93101865,396.543219779
Finland,FIN,1995,6027.0474067,322.82463543
Finland,FIN,2000,5714.20542657,267.281826615
Finland,FIN,2005,5550.82468001,222.99036909
Finland,FIN,2006,5572.99590225,220.409898396
Finland,FIN,2010,5474.26820776,214.720750738
Finland,FIN,2016,4954.17602473,206.170637769
France,FRA,1990,70095.7804402,3463.99027576
France,FRA,1995,70861.2159911,3287.45647764
France,FRA,2000,71563.9880401,3207.29019596
France,FRA,2005,70629.2508502,2788.44856171
France,FRA,2006,70916.4820417,2717.19389565
France,FRA,2010,73594.1347494,2325.99897631
France,FRA,2016,71646.9953262,2281.74859761
Gabon,GAB,1990,556.630798641,132.982756315
Gabon,GAB,1995,593.117513437,136.715036177
Gabon,GAB,2000,549.931188596,154.024802983
Gabon,GAB,2005,500.361539212,149.976722135
Gabon,GAB,2006,488.748490541,145.322265308
Gabon,GAB,2010,449.388471748,118.445342981
Gabon,GAB,2016,462.05345545,108.664953331
Gambia,GMB,1990,196.030414916,181.108076416
Gambia,GMB,1995,223.46609881,172.726310168
Gambia,GMB,2000,260.941342186,179.151065658
Gambia,GMB,2005,293.798208711,199.08243205
Gambia,GMB,2006,302.476900904,198.186816686
Gambia,GMB,2010,314.746188382,183.259052647
Gambia,GMB,2016,348.900956436,177.239781437
Georgia,GEO,1990,6805.43701748,1779.83049399
Georgia,GEO,1995,5783.57379746,1635.55825331
Georgia,GEO,2000,5685.73221518,1589.39296356
Georgia,GEO,2005,6599.77820473,1609.24785907
Georgia,GEO,2006,6524.04233607,1542.44457279
Georgia,GEO,2010,6753.84565255,1462.68851181
